ccg_id,joint_team
99E,"""Basildon, Brentwood and Thurrock MMT"""
99K,Brighton and HWLH MMT
09F,EHS and HR CCGs MMT
09P,EHS and HR CCGs MMT
03E,Harrogate Shared Services MMT
02F,Midlands and Lancashire CSU (ML)
12F,Midlands and Lancashire CSU (ML)
02R,North Kirklees Shared Service
02T,North Kirklees Shared Service
03J,North Kirklees Shared Service
00J,North of England CSU (NECS)
08Y,North West London CSU
08F,One North East London (ONEL) MMT
03T,Optum CSU
01T,South Sefton & Southport and Formby CCG MMT
01V,South Sefton & Southport and Formby CCG MMT
05V,Staffs three MMT
09L,Surrey Downs Hosted Service
05T,Worcestershire MMT
06D,Worcestershire MMT
