,pct_id,list_size
0,00C,108503
1,00D,292549
2,00J,258773
3,00K,297834
4,00L,326108
5,00M,296768
6,00N,157539
7,00P,284132
8,00Q,175584
9,00R,173661
10,00T,310218
11,00V,204792
12,00X,184120
13,00Y,256146
14,01A,383319
15,01C,209119
16,01D,234357
17,01E,209159
18,01F,131772
19,01G,273797
20,01H,324619
21,01J,165657
22,01K,345936
23,01R,186736
24,01T,155388
25,01V,125261
26,01W,312857
27,01X,197820
28,01Y,248407
29,02A,242694
30,02D,107544
31,02E,218666
32,02F,264272
33,02G,113244
34,02H,328761
35,02M,177745
36,02N,159537
37,02P,261195
38,02Q,117711
39,02R,319718
40,02W,155288
41,02T,221215
42,02X,321704
43,02Y,304930
44,03A,248975
45,03D,144275
46,03E,163530
47,03F,299530
48,03H,169909
49,03J,194313
50,03K,179509
51,03L,263677
52,03M,120648
53,03N,599518
54,03Q,357357
55,03R,375238
56,03T,251220
57,03V,79241
58,03W,330695
59,04C,408610
60,15M,1051268
61,04D,235361
62,04E,194599
63,04F,295700
64,04G,689241
65,04H,135380
66,04K,377297
67,04L,140843
68,04M,106328
69,04N,127597
70,04Q,133952
71,04V,393660
72,04Y,133539
73,05A,515401
74,05C,320078
75,05D,142647
76,05F,187878
77,05G,217452
78,05H,192188
79,05J,178222
80,05L,572457
81,05N,310873
82,05Q,218148
83,05R,289131
84,05T,312885
85,05V,149403
86,05W,291593
87,05X,187314
88,05Y,286623
89,06A,282154
90,06D,116684
91,06F,482343
92,06H,971711
93,06K,599766
94,06L,408851
95,06M,240185
96,06N,648771
97,06P,235517
98,06Q,392515
99,06T,352257
100,06V,174076
101,06W,235286
102,06Y,229227
103,07G,177499
104,07H,314793
105,07J,176148
106,07K,251542
107,07L,224861
108,07M,425280
109,07N,242481
110,07P,385246
111,07Q,350275
112,07R,283330
113,07T,320396
114,07V,413560
115,07W,439383
116,07X,341653
117,07Y,319699
118,08A,297554
119,08C,248820
120,08D,320180
121,08E,268693
122,08F,278911
123,08G,313907
124,08H,253216
125,08J,209738
126,08K,416740
127,08L,331606
128,08M,402963
129,08N,322653
130,08P,218430
131,08Q,332661
132,08R,220762
133,08T,201998
134,08V,326902
135,08W,312612
136,08X,405446
137,08Y,251482
138,09A,230395
139,09C,134275
140,09D,317760
141,09E,225088
142,09F,196875
143,09G,516322
144,09H,134145
145,09J,270384
146,09L,183194
147,09N,225557
148,09P,189076
149,09W,300171
150,09X,242023
151,09Y,373048
152,10A,207101
153,10C,97152
154,10D,113816
155,10E,145891
156,10J,226595
157,10K,205026
158,10L,144658
159,10Q,747636
160,10R,230100
161,10V,215675
162,10X,285485
163,112,776
164,11A,564224
165,11E,208096
166,11J,801814
167,11M,648850
168,11N,576454
169,11X,576948
170,12D,238980
171,12F,336799
172,13T,524627
173,14L,641971
174,14Y,561646
175,15A,545620
176,15C,1011458
177,15D,461750
178,15E,1313691
179,15F,878745
180,99A,532896
181,99C,219366
182,99D,167652
183,99E,279869
184,99F,185630
185,99G,188742
186,99H,308256
187,99J,495025
188,99K,170932
189,99M,227906
190,99N,492063
191,15N,1226821
192,NV6,137
