id,user,pct,practice,created_at,approved
2333,2815,00C,,2018-11-02 09:23:07,1
2331,2813,,P81770,2018-11-01 13:00:49,1
2330,2569,,J82102,2018-11-01 11:23:36,1
2329,2783,,N81087,2018-10-31 16:17:25,1
2327,2809,,J83029,2018-10-31 09:39:51,1
2326,2809,,J83055,2018-10-31 09:39:31,1
2325,2809,,J83041,2018-10-31 09:37:53,1
2324,2809,,J83006,2018-10-31 09:37:13,1
2322,2807,,P84019,2018-10-31 00:00:22,1
2321,2806,,N81123,2018-10-30 21:16:28,1
2319,2803,,L81016,2018-10-29 20:20:10,1
2316,2800,06T,,2018-10-29 08:32:36,1
2313,2798,,C81059,2018-10-27 19:08:45,1
2312,2797,,A87022,2018-10-26 18:13:43,1
2311,379,,L84056,2018-10-26 17:23:46,1
2306,2791,,P81687,2018-10-25 13:07:00,1
2303,2788,,M81005,2018-10-25 10:42:11,1
2302,2788,06D,,2018-10-25 10:40:49,1
2301,2787,,P81169,2018-10-25 09:24:01,1
2300,2785,,P81701,2018-10-25 07:20:56,1
2299,2784,,J83049,2018-10-24 14:43:24,1
2298,2783,,N81087,2018-10-24 12:04:03,1
2297,2782,,C84047,2018-10-24 11:35:10,1
2295,2781,,P81044,2018-10-24 10:01:37,1
2293,2779,,D82003,2018-10-24 07:44:47,1
2292,2778,,P81055,2018-10-24 07:23:11,1
2291,2777,,P81119,2018-10-23 15:42:09,1
2289,2092,,L85021,2018-10-23 11:37:59,1
2286,2773,,P81015,2018-10-22 11:22:28,1
2284,584,,B86044,2018-10-21 13:31:35,1
2282,572,,G82055,2018-10-19 15:56:18,1
2281,572,,G82777,2018-10-19 15:52:37,1
2280,2770,,A81026,2018-10-19 14:14:05,1
2279,2769,,B81653,2018-10-19 14:02:22,1
2278,1413,,E85124,2018-10-19 11:25:54,1
2277,1697,,C88030,2018-10-19 11:00:23,1
2276,2768,,L84044,2018-10-19 10:40:01,1
2275,2767,15E,,2018-10-19 10:07:01,1
2274,2766,11E,,2018-10-19 08:46:55,1
2273,2765,07J,,2018-10-19 08:46:06,1
2272,2766,99Q,,2018-10-19 08:43:48,1
2271,2766,99P,,2018-10-19 08:41:51,1
2270,2765,,M85139,2018-10-19 08:39:57,1
2269,2764,,A81052,2018-10-19 08:36:41,1
2268,2764,,A81045,2018-10-19 08:35:45,1
2267,2764,,A81054,2018-10-19 08:32:46,1
2263,2004,,L83074,2018-10-18 15:58:44,1
2262,2004,,L83006,2018-10-18 15:57:35,1
2261,2760,,P81210,2018-10-18 14:31:32,1
2260,2633,,G85724,2018-10-18 14:14:57,1
2259,2633,99P,,2018-10-18 14:14:20,1
2258,630,,C88655,2018-10-18 13:26:09,1
2255,2755,,C88079,2018-10-17 19:59:33,1
2254,2754,,L81037,2018-10-17 18:30:24,1
2253,2753,,C88079,2018-10-17 16:00:21,1
2251,2751,,E85124,2018-10-17 12:46:57,1
2249,2749,99M,,2018-10-16 13:54:08,1
2247,2746,,M82012,2018-10-16 05:49:01,1
2246,2745,,D81057,2018-10-15 21:58:29,1
2238,2741,,M82604,2018-10-14 12:17:52,1
2234,2738,,C81075,2018-10-12 13:14:17,1
2232,2736,,N81019,2018-10-12 08:37:57,1
2231,2735,,L83086,2018-10-12 08:00:57,1
2229,2701,,J82210,2018-10-11 13:57:46,1
2227,1459,04M,,2018-10-11 10:27:22,1
2226,2734,,M83056,2018-10-11 07:13:54,1
2225,1194,,K82008,2018-10-10 16:19:14,1
2223,2730,,L82030,2018-10-10 10:28:35,1
2221,2728,12F,,2018-10-10 05:47:24,1
2220,2727,,J82066,2018-10-09 20:31:45,1
2217,2723,,C88033,2018-10-09 13:49:23,1
2215,2721,,F84093,2018-10-09 07:51:22,1
2212,2718,,K84050,2018-10-08 20:06:03,1
2210,2716,,C81052,2018-10-08 12:10:38,1
2209,2715,09L,,2018-10-08 10:24:46,1
2208,2714,05H,,2018-10-08 10:06:58,1
2207,2714,05R,,2018-10-08 10:05:18,1
2206,2712,11M,,2018-10-07 20:49:44,1
2201,2707,,A83046,2018-10-05 14:49:33,1
2200,2706,,G81680,2018-10-05 14:33:22,1
2198,2704,,B82026,2018-10-05 11:38:28,1
2195,2701,10V,,2018-10-05 08:22:57,1
2191,2696,,L84059,2018-10-04 16:53:01,1
2189,2693,,K82049,2018-10-04 13:50:49,1
2185,2689,,C84063,2018-10-04 13:26:14,1
2184,2688,,L84017,2018-10-04 13:25:54,1
2179,2684,,J83013,2018-10-04 13:08:39,1
2178,2683,,M86010,2018-10-04 12:42:13,1
2176,2681,,C84047,2018-10-04 10:16:20,1
2173,2678,,J81064,2018-10-04 09:46:54,1
2172,2677,,J82012,2018-10-04 09:46:40,1
2171,2676,,J82622,2018-10-04 09:46:14,1
2170,2675,06V,,2018-10-04 08:44:24,1
