,pct_id,over_65,total_list_size
0,00C,21.225,108449.14285714286
1,00D,60.11842857142857,292381.4285714285
2,00J,49.771142857142856,259162.14285714284
3,00K,53.58085714285714,297603.71428571426
4,00L,77.89057142857143,325828.4285714286
5,00M,54.233428571428576,296521.71428571426
6,00N,30.353571428571428,157391.7142857143
7,00P,54.01371428571428,284098.2857142857
8,00Q,25.250571428571426,175437.14285714287
9,00R,35.09657142857143,173565.42857142858
10,00T,50.38571428571429,309891.0
11,00V,35.803714285714285,204555.7142857143
12,00X,36.40228571428571,183908.2857142857
13,00Y,39.217571428571425,255899.85714285716
14,01A,69.26442857142857,382863.7142857143
15,01C,47.943571428571424,208903.57142857142
16,01D,36.61371428571428,234047.2857142857
17,01E,33.41057142857143,209347.0
18,01F,22.630857142857145,131637.14285714287
19,01G,37.02128571428571,273805.85714285716
20,01H,73.19728571428571,324413.28571428574
21,01J,26.26042857142857,165489.14285714284
22,01K,76.107,346059.5714285714
23,01R,37.36428571428571,186516.42857142858
24,01T,29.73414285714286,155336.85714285713
25,01V,32.08557142857143,125164.14285714286
26,01W,58.98871428571429,312528.4285714286
27,01X,39.767857142857146,197722.2857142857
28,01Y,42.712,248197.85714285713
29,02A,41.11271428571428,242387.0
30,02D,20.258428571428574,107356.85714285713
31,02E,38.892,218473.85714285716
32,02F,55.00671428571428,264196.4285714286
33,02G,24.059428571428572,113482.85714285713
34,02H,61.85571428571429,328453.0
35,02M,47.455571428571425,177633.42857142858
36,02N,34.41285714285714,159396.7142857143
37,02P,48.37985714285714,260901.14285714287
38,02Q,24.92257142857143,117616.85714285714
39,02R,50.59428571428572,320207.85714285716
40,02W,10.14042857142857,154373.85714285716
41,02T,38.79271428571428,220966.42857142858
42,02X,59.839571428571425,321319.28571428574
43,02Y,77.04885714285714,304683.85714285716
44,03A,42.96114285714285,249006.0
45,03D,36.99442857142857,144137.2857142857
46,03E,36.198571428571434,163354.57142857142
47,03F,45.78357142857143,299540.14285714284
48,03H,33.375142857142855,169780.85714285713
49,03J,30.450285714285712,194050.42857142855
50,03K,37.125571428571426,179313.7142857143
51,03L,49.887857142857136,263480.71428571426
52,03M,29.501714285714286,120614.71428571428
