,ccg_id,code
0,00C,A83005
1,00C,A83006
2,00C,A83010
3,00C,A83013
4,00C,A83031
5,00C,A83034
6,00C,A83040
7,00C,A83047
8,00C,A83048
9,00C,A83070
10,00C,A83641
11,00D,A83001
12,00D,A83003
13,00D,A83004
14,00D,A83007
15,00D,A83008
16,00D,A83012
17,00D,A83015
18,00D,A83017
19,00D,A83019
20,00D,A83020
21,00D,A83021
22,00D,A83025
23,00D,A83032
24,00D,A83035
25,00D,A83037
26,00D,A83041
27,00D,A83042
28,00D,A83043
29,00D,A83044
30,00D,A83045
31,00D,A83046
32,00D,A83051
33,00D,A83052
34,00D,A83054
35,00D,A83057
36,00D,A83060
37,00D,A83061
38,00D,A83066
39,00D,A83071
40,00D,A83074
41,00D,A83075
42,00D,A83603
43,00D,A83610
44,00D,A83616
45,00D,A83619
46,00D,A83626
47,00D,A83627
48,00D,A83634
49,00J,A83009
50,00J,A83011
51,00J,A83014
52,00J,A83016
53,00J,A83018
54,00J,A83022
55,00J,A83023
56,00J,A83024
57,00J,A83026
58,00J,A83027
59,00J,A83028
60,00J,A83029
61,00J,A83030
62,00J,A83033
63,00J,A83036
64,00J,A83038
65,00J,A83049
66,00J,A83050
67,00J,A83055
68,00J,A83072
69,00J,A83073
70,00J,A83076
71,00J,A83617
72,00J,A83618
73,00J,A83622
74,00J,A83630
75,00J,A83632
76,00J,A83635
77,00J,A83636
78,00J,A83637
79,00J,A83644
80,00K,A81001
81,00K,A81002
82,00K,A81006
83,00K,A81007
84,00K,A81011
85,00K,A81014
86,00K,A81017
87,00K,A81025
88,00K,A81027
89,00K,A81031
90,00K,A81034
91,00K,A81036
92,00K,A81039
93,00K,A81040
94,00K,A81041
95,00K,A81044
96,00K,A81046
97,00K,A81056
98,00K,A81057
99,00K,A81060
100,00K,A81063
101,00K,A81066
102,00K,A81067
103,00K,A81070
104,00K,A81602
105,00K,A81608
106,00K,A81610
107,00K,A81612
108,00K,A81622
109,00K,A81629
110,00K,A81631
111,00K,A81632
112,00K,A81634
113,00L,A84002
114,00L,A84003
115,00L,A84005
116,00L,A84006
117,00L,A84007
118,00L,A84008
119,00L,A84009
120,00L,A84011
121,00L,A84013
122,00L,A84014
123,00L,A84015
124,00L,A84016
125,00L,A84018
126,00L,A84020
127,00L,A84022
128,00L,A84024
129,00L,A84025
130,00L,A84026
131,00L,A84027
132,00L,A84028
133,00L,A84029
134,00L,A84030
135,00L,A84031
136,00L,A84032
137,00L,A84033
138,00L,A84034
139,00L,A84035
140,00L,A84036
141,00L,A84037
142,00L,A84038
143,00L,A84039
144,00L,A84040
145,00L,A84042
146,00L,A84043
147,00L,A84044
148,00L,A84045
149,00L,A84047
150,00L,A84604
151,00L,A84609
152,00L,A84614
153,00L,A84619
154,00L,Y00151
155,00M,A81004
156,00M,A81005
157,00M,A81009
158,00M,A81012
159,00M,A81013
160,00M,A81016
161,00M,A81018
162,00M,A81019
163,00M,A81020
164,00M,A81021
165,00M,A81022
166,00M,A81023
167,00M,A81026
168,00M,A81029
169,00M,A81030
170,00M,A81032
171,00M,A81035
172,00M,A81037
173,00M,A81038
174,00M,A81042
175,00M,A81043
176,00M,A81045
177,00M,A81048
178,00M,A81049
179,00M,A81051
180,00M,A81052
181,00M,A81053
182,00M,A81054
183,00M,A81058
184,00M,A81064
185,00M,A81065
186,00M,A81611
187,00M,A81618
188,00M,A81621
189,00M,A81633
190,00M,Y00286
191,00M,Y03303
192,00N,A88001
193,00N,A88002
194,00N,A88003
195,00N,A88004
196,00N,A88005
197,00N,A88006
198,00N,A88007
199,00N,A88008
200,00N,A88009
201,00N,A88010
202,00N,A88012
203,00N,A88013
204,00N,A88014
205,00N,A88015
206,00N,A88016
207,00N,A88022
208,00N,A88023
209,00N,A88025
210,00N,A88601
211,00N,A88603
212,00N,A88608
213,00N,A88613
214,00P,A89001
215,00P,A89002
216,00P,A89004
217,00P,A89005
218,00P,A89006
219,00P,A89007
220,00P,A89008
221,00P,A89009
222,00P,A89010
223,00P,A89011
224,00P,A89012
225,00P,A89013
226,00P,A89015
227,00P,A89016
228,00P,A89017
229,00P,A89018
230,00P,A89019
231,00P,A89020
232,00P,A89021
233,00P,A89022
234,00P,A89023
235,00P,A89024
236,00P,A89025
237,00P,A89026
238,00P,A89027
239,00P,A89028
240,00P,A89030
241,00P,A89031
242,00P,A89032
243,00P,A89034
244,00P,A89035
245,00P,A89036
246,00P,A89040
247,00P,A89041
248,00P,A89603
249,00P,A89604
250,00P,A89614
251,00P,A89616
252,00P,A89617
253,00P,A89623
254,00P,Y01262
255,00Q,P81005
256,00Q,P81022
257,00Q,P81051
258,00Q,P81058
259,00Q,P81061
260,00Q,P81125
261,00Q,P81140
262,00Q,P81155
263,00Q,P81167
264,00Q,P81204
265,00Q,P81214
266,00Q,P81622
267,00Q,P81633
268,00Q,P81683
269,00Q,P81694
270,00Q,P81704
271,00Q,P81707
272,00Q,P81709
273,00Q,P81721
274,00Q,P81724
275,00Q,P81734
276,00Q,P81771
277,00Q,Y02657
278,00R,P81004
279,00R,P81016
280,00R,P81042
281,00R,P81043
282,00R,P81054
283,00R,P81063
284,00R,P81066
285,00R,P81072
286,00R,P81073
287,00R,P81074
288,00R,P81081
289,00R,P81092
290,00R,P81115
291,00R,P81159
292,00R,P81172
293,00R,P81681
294,00R,P81713
295,00R,P81714
296,00R,Y02854
297,00T,P82001
298,00T,P82002
299,00T,P82003
300,00T,P82004
301,00T,P82005
302,00T,P82006
303,00T,P82007
304,00T,P82008
305,00T,P82009
306,00T,P82010
307,00T,P82011
308,00T,P82012
309,00T,P82013
310,00T,P82014
311,00T,P82015
312,00T,P82016
313,00T,P82018
314,00T,P82020
315,00T,P82021
316,00T,P82022
317,00T,P82023
318,00T,P82025
319,00T,P82029
320,00T,P82030
321,00T,P82031
322,00T,P82033
323,00T,P82034
324,00T,P82036
325,00T,P82037
326,00T,P82607
327,00T,P82609
328,00T,P82613
329,00T,P82616
330,00T,P82624
331,00T,P82625
332,00T,P82626
333,00T,P82627
334,00T,P82629
335,00T,P82633
336,00T,P82634
337,00T,P82640
338,00T,P82643
339,00T,P82652
340,00T,P82660
341,00T,Y00186
342,00T,Y02319
343,00T,Y02790
344,00T,Y03079
345,00T,Y03366
346,00V,P83001
347,00V,P83004
348,00V,P83005
349,00V,P83006
350,00V,P83007
351,00V,P83008
352,00V,P83009
353,00V,P83010
354,00V,P83011
355,00V,P83012
356,00V,P83015
357,00V,P83017
358,00V,P83019
359,00V,P83020
360,00V,P83021
361,00V,P83023
362,00V,P83024
363,00V,P83025
364,00V,P83027
365,00V,P83029
366,00V,P83603
367,00V,P83605
368,00V,P83608
369,00V,P83609
370,00V,P83611
371,00V,P83612
372,00V,P83620
373,00V,P83621
374,00V,P83623
375,00V,Y02755
376,00X,P81010
377,00X,P81033
378,00X,P81038
379,00X,P81044
380,00X,P81057
381,00X,P81062
382,00X,P81076
383,00X,P81082
384,00X,P81083
385,00X,P81117
386,00X,P81127
387,00X,P81143
388,00X,P81154
389,00X,P81171
390,00X,P81173
391,00X,P81180
392,00X,P81181
393,00X,P81186
394,00X,P81642
395,00X,P81655
396,00X,P81687
397,00X,P81689
398,00X,P81692
399,00X,P81701
400,00X,P81740
401,00X,P81741
402,00X,P81769
403,00X,Y00347
404,00X,Y02466
405,00X,Y03656
406,00Y,P85001
407,00Y,P85002
408,00Y,P85003
409,00Y,P85004
410,00Y,P85005
411,00Y,P85006
412,00Y,P85007
413,00Y,P85008
414,00Y,P85010
415,00Y,P85011
416,00Y,P85012
417,00Y,P85013
418,00Y,P85014
419,00Y,P85015
420,00Y,P85016
421,00Y,P85017
422,00Y,P85018
423,00Y,P85019
424,00Y,P85020
425,00Y,P85021
426,00Y,P85022
427,00Y,P85025
428,00Y,P85026
429,00Y,P85028
430,00Y,P85601
431,00Y,P85602
432,00Y,P85605
433,00Y,P85606
434,00Y,P85607
435,00Y,P85608
436,00Y,P85610
437,00Y,P85612
438,00Y,P85613
439,00Y,P85614
440,00Y,P85615
441,00Y,P85620
442,00Y,P85621
443,00Y,P85622
444,00Y,P89006
445,00Y,Y01124
446,00Y,Y02753
447,00Y,Y02827
448,00Y,Y02875
449,00Y,Y02933
450,01A,P81003
451,01A,P81008
452,01A,P81017
453,01A,P81020
454,01A,P81025
455,01A,P81027
456,01A,P81032
457,01A,P81035
458,01A,P81036
459,01A,P81047
460,01A,P81053
461,01A,P81065
462,01A,P81069
463,01A,P81070
464,01A,P81078
465,01A,P81088
466,01A,P81095
467,01A,P81099
468,01A,P81100
469,01A,P81118
470,01A,P81123
471,01A,P81130
472,01A,P81132
473,01A,P81134
474,01A,P81137
475,01A,P81146
476,01A,P81147
477,01A,P81160
478,01A,P81165
479,01A,P81166
480,01A,P81170
481,01A,P81182
482,01A,P81197
483,01A,P81212
484,01A,P81218
485,01A,P81620
486,01A,P81659
487,01A,P81686
488,01A,P81699
489,01A,P81711
490,01A,P81726
491,01A,P81730
492,01A,P81731
493,01A,P81732
494,01A,P81736
495,01A,P81738
496,01A,P81749
497,01A,P81755
498,01A,P81756
499,01A,P81757
500,01A,P81778
501,01A,P81780
502,01A,Y02605
503,01A,Y02606
504,01C,N81002
505,01C,N81013
506,01C,N81021
507,01C,N81022
508,01C,N81026
509,01C,N81027
510,01C,N81029
511,01C,N81033
512,01C,N81042
513,01C,N81049
514,01C,N81052
515,01C,N81062
516,01C,N81069
517,01C,N81070
518,01C,N81073
519,01C,N81077
520,01C,N81085
521,01C,N81086
522,01C,N81088
523,01C,N81112
524,01C,N81118
525,01C,N81632
526,01C,Y02045
527,01C,Y05750
528,01D,P86001
529,01D,P86002
530,01D,P86003
531,01D,P86004
532,01D,P86005
533,01D,P86006
534,01D,P86007
535,01D,P86008
536,01D,P86009
537,01D,P86010
538,01D,P86011
539,01D,P86012
540,01D,P86013
541,01D,P86014
542,01D,P86015
543,01D,P86016
544,01D,P86017
545,01D,P86018
546,01D,P86019
547,01D,P86021
548,01D,P86022
549,01D,P86023
550,01D,P86026
551,01D,P86602
552,01D,P86606
553,01D,P86608
554,01D,P86609
555,01D,P86614
556,01D,P86619
557,01D,P86620
558,01D,P86624
559,01D,Y00726
560,01D,Y02718
561,01D,Y02720
562,01D,Y02721
563,01D,Y02795
564,01D,Y05250
565,01D,Y05251
566,01D,Y05252
567,01D,Y05253
568,01D,Y05279
569,01E,P81015
570,01E,P81018
571,01E,P81040
572,01E,P81046
573,01E,P81055
574,01E,P81067
575,01E,P81071
576,01E,P81093
577,01E,P81103
578,01E,P81107
579,01E,P81119
580,01E,P81152
581,01E,P81169
582,01E,P81179
583,01E,P81184
584,01E,P81185
585,01E,P81196
586,01E,P81213
587,01E,P81647
588,01E,P81664
589,01E,P81685
590,01E,P81735
591,01E,P81748
592,01E,P81750
593,01E,P81770
594,01E,P81785
595,01F,N81011
596,01F,N81019
597,01F,N81035
598,01F,N81037
599,01F,N81045
600,01F,N81054
601,01F,N81057
602,01F,N81064
603,01F,N81066
604,01F,N81072
605,01F,N81096
606,01F,N81119
607,01F,N81619
608,01F,N81651
609,01G,P87002
610,01G,P87003
611,01G,P87004
612,01G,P87008
613,01G,P87014
614,01G,P87015
615,01G,P87016
616,01G,P87017
617,01G,P87019
618,01G,P87020
619,01G,P87022
620,01G,P87024
621,01G,P87025
622,01G,P87026
623,01G,P87027
624,01G,P87028
625,01G,P87032
626,01G,P87035
627,01G,P87036
628,01G,P87039
629,01G,P87040
630,01G,P87610
631,01G,P87613
632,01G,P87618
633,01G,P87620
634,01G,P87624
635,01G,P87625
636,01G,P87627
637,01G,P87630
638,01G,P87634
639,01G,P87639
640,01G,P87648
641,01G,P87649
642,01G,P87651
643,01G,P87652
644,01G,P87654
645,01G,P87657
646,01G,P87658
647,01G,P87659
648,01G,P87660
649,01G,P87661
650,01G,Y00445
651,01G,Y02622
652,01G,Y02625
653,01G,Y02767
654,01H,A82004
655,01H,A82006
656,01H,A82012
657,01H,A82013
658,01H,A82014
659,01H,A82015
660,01H,A82016
661,01H,A82018
662,01H,A82019
663,01H,A82020
664,01H,A82021
665,01H,A82022
666,01H,A82023
667,01H,A82024
668,01H,A82028
669,01H,A82029
670,01H,A82031
671,01H,A82032
672,01H,A82035
673,01H,A82036
674,01H,A82037
675,01H,A82038
676,01H,A82041
677,01H,A82044
678,01H,A82045
679,01H,A82047
680,01H,A82048
681,01H,A82049
682,01H,A82050
683,01H,A82055
684,01H,A82058
685,01H,A82060
686,01H,A82064
687,01H,A82075
688,01H,A82617
689,01H,A82620
690,01H,A82623
691,01H,A82631
692,01H,A82646
693,01H,A82654
694,01J,N83009
695,01J,N83013
696,01J,N83014
697,01J,N83015
698,01J,N83018
