,ccg_id,code
699,01J,N83024
700,01J,N83025
701,01J,N83028
702,01J,N83030
703,01J,N83031
704,01J,N83032
705,01J,N83033
706,01J,N83043
707,01J,N83047
708,01J,N83055
709,01J,N83601
710,01J,N83603
711,01J,N83605
712,01J,N83608
713,01J,N83609
714,01J,N83610
715,01J,N83619
716,01J,N83621
717,01J,N83622
718,01J,N83633
719,01K,A82003
720,01K,A82005
721,01K,A82007
722,01K,A82008
723,01K,A82009
724,01K,A82010
725,01K,A82025
726,01K,A82026
727,01K,A82027
728,01K,A82030
729,01K,A82033
730,01K,A82034
731,01K,A82039
732,01K,A82046
733,01K,A82053
734,01K,A82062
735,01K,A82065
736,01K,A82068
737,01K,A82070
738,01K,A82071
739,01K,A82072
740,01K,A82077
741,01K,A82608
742,01K,A82613
743,01K,A82621
744,01K,A82629
745,01K,A82647
746,01K,A82650
747,01K,A82651
748,01K,B82061
749,01K,P81002
750,01K,P81013
751,01K,P81029
752,01K,P81113
753,01K,Y01008
754,01R,N81001
755,01R,N81008
756,01R,N81010
757,01R,N81016
758,01R,N81032
759,01R,N81039
760,01R,N81043
761,01R,N81044
762,01R,N81047
763,01R,N81053
764,01R,N81068
765,01R,N81071
766,01R,N81084
767,01R,N81090
768,01R,N81111
769,01R,N81614
770,01R,N81642
771,01T,N84001
772,01T,N84002
773,01T,N84003
774,01T,N84004
775,01T,N84007
776,01T,N84010
777,01T,N84011
778,01T,N84015
779,01T,N84016
780,01T,N84019
781,01T,N84020
782,01T,N84023
783,01T,N84025
784,01T,N84026
785,01T,N84027
786,01T,N84028
787,01T,N84029
788,01T,N84034
789,01T,N84035
790,01T,N84038
791,01T,N84041
792,01T,N84043
793,01T,N84605
794,01T,N84615
795,01T,N84621
796,01T,N84624
797,01T,N84626
798,01T,N84627
799,01T,N84630
800,01T,Y00446
801,01T,Y02514
802,01V,N84005
803,01V,N84006
804,01V,N84008
805,01V,N84012
806,01V,N84013
807,01V,N84014
808,01V,N84017
809,01V,N84018
810,01V,N84021
811,01V,N84024
812,01V,N84037
813,01V,N84611
814,01V,N84613
815,01V,N84614
816,01V,N84617
817,01V,N84618
818,01V,N84625
819,01V,Y02610
820,01W,P88002
821,01W,P88003
822,01W,P88005
823,01W,P88006
824,01W,P88007
825,01W,P88008
826,01W,P88009
827,01W,P88011
828,01W,P88012
829,01W,P88013
830,01W,P88014
831,01W,P88015
832,01W,P88016
833,01W,P88017
834,01W,P88018
835,01W,P88019
836,01W,P88020
837,01W,P88021
838,01W,P88023
839,01W,P88024
840,01W,P88025
841,01W,P88026
842,01W,P88031
843,01W,P88034
844,01W,P88041
845,01W,P88042
846,01W,P88043
847,01W,P88044
848,01W,P88600
849,01W,P88606
850,01W,P88607
851,01W,P88610
852,01W,P88615
853,01W,P88617
854,01W,P88623
855,01W,P88624
856,01W,P88625
857,01W,P88632
858,01W,Y00912
859,01X,N83001
860,01X,N83002
861,01X,N83003
862,01X,N83005
863,01X,N83006
864,01X,N83007
865,01X,N83008
866,01X,N83010
867,01X,N83012
868,01X,N83017
869,01X,N83019
870,01X,N83020
871,01X,N83021
872,01X,N83022
873,01X,N83023
874,01X,N83026
875,01X,N83027
876,01X,N83035
877,01X,N83041
878,01X,N83045
879,01X,N83049
880,01X,N83050
881,01X,N83053
882,01X,N83054
883,01X,N83060
884,01X,N83604
885,01X,N83614
886,01X,N83620
887,01X,N83624
888,01X,N83628
889,01X,N83635
890,01X,N83637
891,01X,Y00475
892,01X,Y02510
893,01Y,C81077
894,01Y,C81081
895,01Y,C81106
896,01Y,C81615
897,01Y,C81640
898,01Y,C81660
899,01Y,P89002
900,01Y,P89003
901,01Y,P89004
902,01Y,P89005
903,01Y,P89007
904,01Y,P89008
905,01Y,P89010
906,01Y,P89011
907,01Y,P89012
908,01Y,P89013
909,01Y,P89014
910,01Y,P89015
911,01Y,P89016
912,01Y,P89017
913,01Y,P89018
914,01Y,P89020
915,01Y,P89021
916,01Y,P89022
917,01Y,P89023
918,01Y,P89025
919,01Y,P89026
920,01Y,P89029
921,01Y,P89030
922,01Y,P89602
923,01Y,P89609
924,01Y,P89612
925,01Y,P89613
926,01Y,P89618
927,01Y,Y02586
928,01Y,Y02663
929,01Y,Y02713
930,01Y,Y02936
931,02A,P91003
932,02A,P91004
933,02A,P91006
934,02A,P91007
935,02A,P91008
936,02A,P91009
937,02A,P91011
938,02A,P91012
939,02A,P91013
940,02A,P91014
941,02A,P91016
942,02A,P91017
943,02A,P91018
944,02A,P91019
945,02A,P91020
946,02A,P91021
947,02A,P91026
948,02A,P91029
949,02A,P91032
950,02A,P91035
951,02A,P91603
952,02A,P91604
953,02A,P91615
954,02A,P91617
955,02A,P91619
956,02A,P91623
957,02A,P91625
958,02A,P91627
959,02A,P91629
960,02A,P91631
961,02A,P91633
962,02A,Y02129
963,02D,N81024
964,02D,N81025
965,02D,N81040
966,02D,N81051
967,02D,N81055
968,02D,N81061
969,02D,N81067
970,02D,N81074
971,02D,N81087
972,02D,N81113
973,02D,N81123
974,02D,N81127
975,02E,N81007
976,02E,N81012
977,02E,N81014
978,02E,N81020
979,02E,N81028
980,02E,N81036
981,02E,N81041
982,02E,N81048
983,02E,N81056
984,02E,N81059
985,02E,N81065
986,02E,N81075
987,02E,N81083
988,02E,N81089
989,02E,N81097
990,02E,N81107
991,02E,N81108
992,02E,N81109
993,02E,N81114
994,02E,N81122
995,02E,N81623
996,02E,N81628
997,02E,N81637
998,02E,N81645
999,02E,Y01108
1000,02E,Y04925
1001,02E,Y04926
1002,02F,N81005
1003,02F,N81006
1004,02F,N81009
1005,02F,N81018
1006,02F,N81023
1007,02F,N81030
1008,02F,N81031
1009,02F,N81034
1010,02F,N81038
1011,02F,N81046
1012,02F,N81050
1013,02F,N81060
1014,02F,N81063
1015,02F,N81079
1016,02F,N81080
1017,02F,N81081
1018,02F,N81082
1019,02F,N81091
1020,02F,N81092
1021,02F,N81093
1022,02F,N81094
1023,02F,N81095
1024,02F,N81100
1025,02F,N81101
1026,02F,N81102
1027,02F,N81115
1028,02F,N81117
1029,02F,N81120
1030,02F,N81121
1031,02F,N81125
1032,02F,N81607
1033,02F,N81624
1034,02F,N81626
1035,02F,N81655
1036,02F,Y04664
1037,02G,P81014
1038,02G,P81039
1039,02G,P81041
1040,02G,P81045
1041,02G,P81084
1042,02G,P81096
1043,02G,P81112
1044,02G,P81136
1045,02G,P81138
1046,02G,P81177
1047,02G,P81201
1048,02G,P81208
1049,02G,P81646
1050,02G,P81674
1051,02G,P81695
1052,02G,P81710
1053,02G,P81727
1054,02G,P81758
1055,02G,P81774
1056,02H,P92001
1057,02H,P92002
1058,02H,P92003
1059,02H,P92004
1060,02H,P92005
1061,02H,P92006
1062,02H,P92007
1063,02H,P92008
1064,02H,P92010
1065,02H,P92011
1066,02H,P92012
1067,02H,P92014
1068,02H,P92015
1069,02H,P92016
1070,02H,P92017
1071,02H,P92019
1072,02H,P92020
1073,02H,P92021
1074,02H,P92023
1075,02H,P92024
1076,02H,P92026
1077,02H,P92028
1078,02H,P92029
1079,02H,P92030
1080,02H,P92031
1081,02H,P92033
1082,02H,P92034
1083,02H,P92035
1084,02H,P92038
1085,02H,P92041
1086,02H,P92042
1087,02H,P92602
1088,02H,P92605
1089,02H,P92607
1090,02H,P92615
1091,02H,P92616
1092,02H,P92619
1093,02H,P92620
1094,02H,P92621
1095,02H,P92623
1096,02H,P92626
1097,02H,P92630
1098,02H,P92633
1099,02H,P92634
1100,02H,P92635
1101,02H,P92637
1102,02H,P92639
1103,02H,P92642
1104,02H,P92646
1105,02H,P92647
1106,02H,P92648
1107,02H,P92651
1108,02H,P92652
1109,02H,P92653
1110,02H,Y00050
1111,02H,Y02274
1112,02H,Y02321
1113,02H,Y02322
1114,02H,Y02378
1115,02H,Y02885
1116,02H,Y02886
1117,02H,Y02887
1118,02H,Y05088
1119,02M,P81006
1120,02M,P81031
1121,02M,P81037
1122,02M,P81059
1123,02M,P81077
1124,02M,P81079
1125,02M,P81086
1126,02M,P81087
1127,02M,P81089
1128,02M,P81128
1129,02M,P81129
1130,02M,P81133
1131,02M,P81149
1132,02M,P81150
1133,02M,P81157
1134,02M,P81191
1135,02M,P81210
1136,02M,P81668
1137,02M,P81690
1138,02M,P81737
1139,02M,P81742
1140,02N,B82007
1141,02N,B82020
1142,02N,B82028
1143,02N,B82053
1144,02N,B83002
1145,02N,B83006
1146,02N,B83008
1147,02N,B83019
1148,02N,B83021
1149,02N,B83023
1150,02N,B83027
1151,02N,B83033
1152,02N,B83061
1153,02N,B83602
1154,02N,B83620
1155,02N,B83624
1156,02P,C85001
1157,02P,C85003
1158,02P,C85004
1159,02P,C85005
1160,02P,C85006
1161,02P,C85007
1162,02P,C85008
1163,02P,C85009
1164,02P,C85010
1165,02P,C85013
1166,02P,C85014
1167,02P,C85016
1168,02P,C85017
1169,02P,C85018
1170,02P,C85019
1171,02P,C85020
1172,02P,C85022
1173,02P,C85023
1174,02P,C85024
1175,02P,C85026
1176,02P,C85028
1177,02P,C85030
1178,02P,C85033
1179,02P,C85614
1180,02P,C85619
1181,02P,C85622
1182,02P,C85623
1183,02P,C85628
1184,02P,Y00411
1185,02P,Y04809
1186,02P,Y05248
1187,02P,Y05363
1188,02P,Y05364
1189,02Q,C84001
1190,02Q,C84008
1191,02Q,C84013
1192,02Q,C84024
1193,02Q,C84035
1194,02Q,C84094
1195,02Q,C84101
1196,02Q,C84692
1197,02Q,Y05346
1198,02R,B83007
1199,02R,B83009
1200,02R,B83010
1201,02R,B83012
1202,02R,B83013
1203,02R,B83014
1204,02R,B83015
1205,02R,B83017
1206,02R,B83018
1207,02R,B83020
1208,02R,B83022
1209,02R,B83028
1210,02R,B83029
1211,02R,B83030
1212,02R,B83031
1213,02R,B83035
1214,02R,B83037
1215,02R,B83038
1216,02R,B83039
1217,02R,B83040
1218,02R,B83041
1219,02R,B83042
1220,02R,B83043
1221,02R,B83045
1222,02R,B83049
1223,02R,B83054
1224,02R,B83055
1225,02R,B83056
1226,02R,B83062
1227,02R,B83063
1228,02R,B83064
1229,02R,B83067
1230,02R,B83641
1231,02R,Y01118
1232,02T,B84001
1233,02T,B84002
1234,02T,B84003
1235,02T,B84004
1236,02T,B84005
1237,02T,B84006
1238,02T,B84007
1239,02T,B84008
1240,02T,B84009
1241,02T,B84010
1242,02T,B84011
1243,02T,B84012
1244,02T,B84013
1245,02T,B84014
1246,02T,B84016
1247,02T,B84017
1248,02T,B84019
1249,02T,B84021
1250,02T,B84610
1251,02T,B84612
1252,02T,B84613
1253,02T,B84615
1254,02T,B84618
1255,02T,B84623
1256,02T,Y02572
1257,02T,Y02645
1258,02T,Y03112
1259,02W,B83005
1260,02W,B83011
1261,02W,B83016
1262,02W,B83025
1263,02W,B83026
1264,02W,B83032
1265,02W,B83034
1266,02W,B83051
1267,02W,B83052
1268,02W,B83058
1269,02W,B83604
1270,02W,B83611
1271,02W,B83614
1272,02W,B83617
1273,02W,B83621
1274,02W,B83622
1275,02W,B83626
1276,02W,B83627
1277,02W,B83628
1278,02W,B83629
1279,02W,B83638
1280,02W,B83642
1281,02W,B83653
1282,02W,B83657
1283,02W,B83659
1284,02W,B83660
1285,02W,B83661
1286,02X,C86001
1287,02X,C86002
1288,02X,C86003
1289,02X,C86005
1290,02X,C86006
1291,02X,C86007
1292,02X,C86009
1293,02X,C86011
1294,02X,C86012
1295,02X,C86013
1296,02X,C86015
1297,02X,C86016
1298,02X,C86017
1299,02X,C86018
1300,02X,C86019
1301,02X,C86020
1302,02X,C86021
1303,02X,C86022
1304,02X,C86023
1305,02X,C86024
1306,02X,C86025
1307,02X,C86026
1308,02X,C86029
1309,02X,C86032
1310,02X,C86033
1311,02X,C86034
1312,02X,C86037
1313,02X,C86038
1314,02X,C86039
1315,02X,C86605
1316,02X,C86606
1317,02X,C86609
1318,02X,C86611
1319,02X,C86613
1320,02X,C86614
1321,02X,C86616
1322,02X,C86621
1323,02X,C86623
1324,02X,C86625
1325,02X,C86626
1326,02X,Y05167
1327,02Y,B81004
1328,02Y,B81006
1329,02Y,B81009
1330,02Y,B81010
1331,02Y,B81013
1332,02Y,B81014
1333,02Y,B81024
1334,02Y,B81025
1335,02Y,B81029
1336,02Y,B81034
1337,02Y,B81037
1338,02Y,B81041
1339,02Y,B81042
1340,02Y,B81050
1341,02Y,B81051
1342,02Y,B81060
1343,02Y,B81061
1344,02Y,B81062
1345,02Y,B81068
1346,02Y,B81069
1347,02Y,B81070
1348,02Y,B81082
1349,02Y,B81088
1350,02Y,B81092
1351,02Y,B81100
1352,02Y,B81101
1353,02Y,B81602
1354,02Y,B81619
1355,02Y,B81653
1356,02Y,B81658
1357,02Y,B81666
1358,02Y,Y02656
1359,03A,B85002
1360,03A,B85005
1361,03A,B85006
1362,03A,B85010
1363,03A,B85016
1364,03A,B85022
1365,03A,B85023
1366,03A,B85024
1367,03A,B85026
1368,03A,B85027
1369,03A,B85028
1370,03A,B85031
1371,03A,B85032
1372,03A,B85033
1373,03A,B85036
1374,03A,B85037
1375,03A,B85042
1376,03A,B85044
1377,03A,B85048
1378,03A,B85051
1379,03A,B85054
1380,03A,B85058
1381,03A,B85059
1382,03A,B85060
1383,03A,B85061
1384,03A,B85062
1385,03A,B85610
1386,03A,B85611
1387,03A,B85614
1388,03A,B85623
1389,03A,B85634
1390,03A,B85636
1391,03A,B85638
1392,03A,B85641
1393,03A,B85659
1394,03A,B85660
1395,03A,Y04266
1396,03D,B82017
1397,03D,B82019
1398,03D,B82022
1399,03D,B82023
1400,03D,B82029
1401,03D,B82034
1402,03D,B82035
1403,03D,B82042
1404,03D,B82044
1405,03D,B82045
1406,03D,B82046
1407,03D,B82049
1408,03D,B82050
1409,03D,B82062
1410,03D,B82066
1411,03D,B82072
1412,03D,B82075
1413,03D,B82078
1414,03D,B82086
1415,03D,B82101
1416,03D,B82104
1417,03D,B82622
1418,03E,B82004
1419,03E,B82008
1420,03E,B82010
1421,03E,B82012
1422,03E,B82013
1423,03E,B82014
1424,03E,B82016
1425,03E,B82027
1426,03E,B82030
1427,03E,B82032
1428,03E,B82036
1429,03E,B82057
1430,03E,B82059
1431,03E,B82060
1432,03E,B82067
1433,03E,B82069
1434,03E,B82091
1435,03F,B81002
1436,03F,B81008
1437,03F,B81011
1438,03F,B81017
1439,03F,B81018
1440,03F,B81020
1441,03F,B81021
1442,03F,B81027
1443,03F,B81032
1444,03F,B81035
1445,03F,B81038
1446,03F,B81040
1447,03F,B81046
1448,03F,B81047
1449,03F,B81048
1450,03F,B81049
1451,03F,B81052
1452,03F,B81053
1453,03F,B81054
1454,03F,B81056
1455,03F,B81058
1456,03F,B81066
1457,03F,B81074
1458,03F,B81075
1459,03F,B81080
1460,03F,B81085
1461,03F,B81095
1462,03F,B81097
1463,03F,B81104
1464,03F,B81112
1465,03F,B81119
1466,03F,B81616
1467,03F,B81631
1468,03F,B81635
1469,03F,B81645
1470,03F,B81675
1471,03F,B81688
1472,03F,Y02344
1473,03F,Y02747
1474,03H,B81003
